ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
nort2641,Northern Kurdish,,37.0,43.0,nort2641,,21,3.044522437723423
endo1242,Endo,,,,endo1242,,4,1.3862943611198906
nort2671,North Saami,,68.725,22.1113,nort2671,,24,3.1780538303479458
mina1268,Minangkabau,,-0.896,100.44,mina1268,,3,1.0986122886681098
lahu1253,Lahu,,21.2701,100.214,lahu1253,,3,1.0986122886681098
sout2750,Southern Yukaghir,,64.218,154.375,sout2750,,2,0.6931471805599453
chuv1255,Chuvash,,55.48701,47.16298,chuv1255,,10,2.302585092994046
csan1238,Csángó,,,,csan1238,,3,1.0986122886681098
east2335,Eastern Karaim,,,,east2335,,2,0.6931471805599453
bolg1250,Bolgarian,,48.671481,42.729234,bolg1250,,3,1.0986122886681098
east2328,Eastern Mari,,55.8307,48.405,east2328,,1,0.0
oldr1238,Old Russian,,54.813,31.827,oldr1238,,2,0.6931471805599453
amha1245,Amharic,,11.708182,39.543456,amha1245,,11,2.3978952727983707
wari1268,Wari',,-10.69948,-64.56152,wari1268,,1,0.0
kaer1234,Kaera,,-8.3287,124.0177,kaer1234,,12,2.4849066497880004
abui1241,Abui,,-8.31058,124.588,abui1241,,138,4.927253685157205
blag1240,Blagar,,-8.31787,124.251,blag1240,,20,2.995732273553991
kelo1247,Klon,,-8.40688,124.429,kelo1247,,12,2.4849066497880004
lamm1241,Western Pantar,,-8.52787,124.057,lamm1241,,74,4.30406509320417
adan1251,Adang,,-8.18958,124.448,adan1251,,40,3.6888794541139363
sawi1256,Sawila,,-8.29105,125.078,sawi1256,,8,2.0794415416798357
buna1278,Bunak,,-9.13618,125.216,buna1278,,7,1.9459101490553132
tobe1252,Tobelo,,1.0946,128.154,tobe1252,,18,2.8903717578961645
fore1270,Fore,,-6.64473,145.5065,fore1270,,6,1.791759469228055
nucl1622,Marind,,-8.15651,140.009,nucl1622,,5,1.6094379124341003
enga1252,Enga,,-5.45619,143.685,enga1252,,2,0.6931471805599453
mian1256,Mian,,-4.70881,141.523,mian1256,,4,1.3862943611198906
nucl1630,Barai,,-9.46246,147.899,nucl1630,,2,0.6931471805599453
inan1242,Inanwatan,,,,inan1242,,4,1.3862943611198906
wers1238,Wersing,,-8.33936,124.932,wers1238,,46,3.828641396489095
kama1365,Kamang,,-8.26897,124.792,kama1365,,102,4.624972813284271
misk1235,Mískito,,15.1576,-84.2942,misk1235,,2,0.6931471805599453
gugu1255,Guugu Yimidhirr,,-14.9424,144.831,gugu1255,,1,0.0
urdu1245,Urdu,,25.0,67.0,urdu1245,,2,0.6931471805599453
cher1273,Cherokee,,35.4664,-83.163,cher1273,,4,1.3862943611198906
darg1241,North-Central Dargwa,,42.4257,47.4388,darg1241,,580,6.363028103540465
mauw1238,Mauwake,,-4.52416,145.394,mauw1238,,2133,7.665284718471351
east2303,Archaic Finnish Swedish,,62.476944,21.348611,east2303,,3,1.0986122886681098
orsa1234,Orsamål,,,,orsa1234,,7,1.9459101490553132
elfd1234,Elfdalian,,,,elfd1234,,62,4.127134385045092
soll1234,Sollerömål,,,,soll1234,,12,2.4849066497880004
arch1246,Archaic Norrlandic,,66.32,22.84,arch1246,,6,1.791759469228055
paas1238,Paasaal,,10.2004,-1.8048,paas1238,,4,1.3862943611198906
gonj1241,Gonja,,8.48801,-0.72757,gonj1241,,2,0.6931471805599453
vagl1239,Vagla,,9.33848,-2.31333,vagl1239,,1,0.0
wali1263,Wali (Ghana),,10.0212,-2.31263,wali1263,,3,1.0986122886681098
grus1239,Grusi,,,,grus1239,,1,0.0
haus1257,Hausa,,11.1513,8.7804,haus1257,,13,2.5649493574615367
